S/N,UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Geoid height,Speed,Course,Satellite used,Positioning mode,GPS time consumption,HorAccuracy,VerAccuracy,HDOP,VDOP,Data source
6188,db0bbc637a3a,2021-08-16T00:05:14.797Z,2021-08-16T00:04:44Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-19T00:07:06.079Z,2021-08-16T04:06:54Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-19T00:07:06.079Z,2021-08-16T08:06:54Z,200,200,0,0,0,0,0,0,151,0,0,0,0,1
6188,db0bbc637a3a,2021-08-19T00:07:06.079Z,2021-08-16T12:05:40Z,17.4884288,51.5360288,93.46,135.21,0.5,0,7,2,90,0,0,1.81,0.98,1
6188,db0bbc637a3a,2021-08-19T00:07:06.08Z,2021-08-16T16:05:00Z,17.4880032,51.5356704,152.23,193.98,0.2,0,5,2,39,0,0,2.36,0.95,1
6188,db0bbc637a3a,2021-08-19T00:07:06.081Z,2021-08-16T20:05:31Z,17.4923184,51.5348736,153.47,195.22,0.4,12.5,5,2,71,0,0,1.14,0.98,1
6188,db0bbc637a3a,2021-08-19T00:07:06.082Z,2021-08-17T00:06:53Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-19T00:07:06.083Z,2021-08-17T04:04:59Z,17.4928816,51.534768,168.63,210.38,0.2,274.9,4,2,45,0,0,1.27,0.88,1
6188,db0bbc637a3a,2021-08-19T00:07:06.084Z,2021-08-17T08:04:41Z,17.4889072,51.5367264,96.49,138.24,0.3,336.1,5,2,19,0,0,1.19,0.94,1
6188,db0bbc637a3a,2021-08-19T00:07:06.085Z,2021-08-17T12:05:57Z,17.4973712,51.5407232,159.1,200.84,4.8,215.7,4,2,96,0,0,3.24,0.98,1
6188,db0bbc637a3a,2021-08-19T00:07:06.086Z,2021-08-17T16:04:53Z,17.4893856,51.5378304,164.25,206,0,274.4,5,2,34,0,0,1.29,0.83,1
6188,db0bbc637a3a,2021-08-19T00:07:06.087Z,2021-08-17T20:06:06Z,17.4876416,51.5435616,87.7,129.44,0.1,91.6,4,2,110,0,0,1.13,1,1
6188,db0bbc637a3a,2021-08-19T00:07:06.088Z,2021-08-18T00:06:54Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-19T00:07:06.088Z,2021-08-18T04:06:01Z,17.489616,51.5381408,130.98,172.73,0,2.8,5,2,101,0,0,1.22,0.86,1
6188,db0bbc637a3a,2021-08-19T00:07:06.089Z,2021-08-18T08:04:55Z,17.4898608,51.5378336,128.15,169.89,0.2,0,8,2,37,0,0,0.93,0.92,1
6188,db0bbc637a3a,2021-08-19T00:07:06.09Z,2021-08-18T12:05:02Z,17.49876,51.5335488,142.51,184.25,1.4,359.2,5,2,40,0,0,1.24,0.81,1
6188,db0bbc637a3a,2021-08-19T00:07:06.091Z,2021-08-18T16:04:51Z,17.488424,51.5438816,186.7,228.44,0.8,354.7,6,1,31,0,0,1.08,0.84,1
6188,db0bbc637a3a,2021-08-19T00:07:06.092Z,2021-08-18T20:05:05Z,17.4880144,51.5443008,258.27,300,0.1,84.2,6,1,90,0,0,1,0.97,1
6188,db0bbc637a3a,2021-08-19T00:07:11.716Z,2021-08-19T00:06:35Z,17.4888912,51.5442848,45.22,86.96,0.2,113.3,5,1,90,0,0,1.05,0.97,1
6188,db0bbc637a3a,2021-08-21T00:06:08.2Z,2021-08-19T04:06:00Z,17.489464,51.5381472,97.32,139.07,2.6,200.8,4,2,90,0,0,5.6,0.96,1
6188,db0bbc637a3a,2021-08-21T00:06:08.201Z,2021-08-19T08:05:08Z,17.4876976,51.5360192,118.51,160.27,0.2,215.7,4,2,41,0,0,1.86,0.99,1
6188,db0bbc637a3a,2021-08-21T00:06:08.202Z,2021-08-19T12:06:55Z,200,200,0,0,0,0,0,0,151,0,0,0,0,1
6188,db0bbc637a3a,2021-08-21T00:06:08.202Z,2021-08-19T16:04:44Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-21T00:06:08.202Z,2021-08-19T20:06:18Z,17.4884112,51.5435488,152.35,194.09,0.2,188.8,4,2,118,0,0,2.46,0.93,1
6188,db0bbc637a3a,2021-08-21T00:06:08.203Z,2021-08-20T00:05:40Z,17.488424,51.5444576,167.63,209.37,0.4,31.6,6,2,83,0,0,1.42,1.93,1
6188,db0bbc637a3a,2021-08-21T00:06:08.204Z,2021-08-20T04:04:28Z,17.4982144,51.5358528,134.15,175.9,1.9,5.3,5,2,6,0,0,1.73,0.95,1
6188,db0bbc637a3a,2021-08-21T00:06:08.205Z,2021-08-20T08:05:07Z,17.4985344,51.5360672,106.29,148.04,0.4,350.2,5,2,47,0,0,2.29,0.99,1
6188,db0bbc637a3a,2021-08-21T00:06:08.206Z,2021-08-20T12:05:37Z,17.488472,51.5439712,133.37,175.11,0,230.6,5,2,80,0,0,1.22,0.89,1
6188,db0bbc637a3a,2021-08-21T00:06:08.206Z,2021-08-20T16:06:53Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-21T00:06:08.207Z,2021-08-20T20:04:44Z,17.4883424,51.5408544,-200.38,-158.63,1.6,355.1,5,2,25,0,0,2.48,0.98,1
6188,db0bbc637a3a,2021-08-21T00:06:08.207Z,2021-08-21T00:04:54Z,17.4885888,51.5438752,142.91,184.65,0.2,0,5,2,37,0,0,1.07,0.92,1
6188,db0bbc637a3a,2021-08-22T00:06:01.391Z,2021-08-21T04:04:39Z,17.4968592,51.5350656,147.01,188.76,0,0,5,2,18,0,0,1.63,0.95,1
